"filename", "language", "C++", "C", "JSON with Comments", "Python", "Java", "Shell Script", "comment", "blank", "total"
"/Users/ralphcao/Git/USACO/codebits/Geometry/convex_hull_monotone_chain.cpp", "C++", 47, 0, 0, 0, 0, 0, 2, 10, 59
"/Users/ralphcao/Git/USACO/codebits/Geometry/graham_scan.cpp", "C++", 48, 0, 0, 0, 0, 0, 16, 15, 79
"/Users/ralphcao/Git/USACO/codebits/Geometry/is_enclosed.cpp", "C++", 56, 0, 0, 0, 0, 0, 6, 9, 71
"/Users/ralphcao/Git/USACO/codebits/Geometry/point_in_triangle.cpp", "C++", 41, 0, 0, 0, 0, 0, 0, 10, 51
"/Users/ralphcao/Git/USACO/codebits/Geometry/rotating_calipers.cpp", "C++", 70, 0, 0, 0, 0, 0, 4, 17, 91
"/Users/ralphcao/Git/USACO/codebits/Graph/strongly_connected_components.cpp", "C++", 62, 0, 0, 0, 0, 0, 0, 8, 70
"/Users/ralphcao/Git/USACO/codebits/Math/2sat.cpp", "C++", 89, 0, 0, 0, 0, 0, 0, 12, 101
"/Users/ralphcao/Git/USACO/codebits/Math/combo.cpp", "C++", 41, 0, 0, 0, 0, 0, 22, 10, 73
"/Users/ralphcao/Git/USACO/codebits/Math/convex_hull_trick.cpp", "C++", 39, 0, 0, 0, 0, 0, 8, 14, 61
"/Users/ralphcao/Git/USACO/codebits/Math/euclidean.cpp", "C++", 24, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/ralphcao/Git/USACO/codebits/Math/fft/fft.cpp", "C++", 90, 0, 0, 0, 0, 0, 0, 14, 104
"/Users/ralphcao/Git/USACO/codebits/Math/fft/fft_cpalgo.cpp", "C++", 69, 0, 0, 0, 0, 0, 0, 13, 82
"/Users/ralphcao/Git/USACO/codebits/Math/fft/ntt.cpp", "C++", 100, 0, 0, 0, 0, 0, 18, 14, 132
"/Users/ralphcao/Git/USACO/codebits/Math/fft/ntt_arbitrary.cpp", "C++", 109, 0, 0, 0, 0, 0, 21, 15, 145
"/Users/ralphcao/Git/USACO/codebits/Math/fft/ntt_iterative.cpp", "C++", 111, 0, 0, 0, 0, 0, 7, 14, 132
"/Users/ralphcao/Git/USACO/codebits/Math/matrix.cpp", "C++", 81, 0, 0, 0, 0, 0, 0, 8, 89
"/Users/ralphcao/Git/USACO/codebits/Math/sieve_of_eratosthenes.cpp", "C++", 30, 0, 0, 0, 0, 0, 2, 6, 38
"/Users/ralphcao/Git/USACO/codebits/String/better_suffix_array.cpp", "C++", 62, 0, 0, 0, 0, 0, 1, 8, 71
"/Users/ralphcao/Git/USACO/codebits/String/longest_palindromic_substring.cpp", "C++", 60, 0, 0, 0, 0, 0, 1, 10, 71
"/Users/ralphcao/Git/USACO/codebits/String/minimal_rotation.cpp", "C++", 41, 0, 0, 0, 0, 0, 4, 4, 49
"/Users/ralphcao/Git/USACO/codebits/String/prefix_function.cpp", "C++", 32, 0, 0, 0, 0, 0, 2, 6, 40
"/Users/ralphcao/Git/USACO/codebits/String/string_math.cpp", "C++", 57, 0, 0, 0, 0, 0, 1, 13, 71
"/Users/ralphcao/Git/USACO/codebits/String/suffix_array.cpp", "C++", 34, 0, 0, 0, 0, 0, 0, 9, 43
"/Users/ralphcao/Git/USACO/codebits/String/suffix_tree.cpp", "C++", 82, 0, 0, 0, 0, 0, 6, 13, 101
"/Users/ralphcao/Git/USACO/codebits/String/trie.cpp", "C++", 51, 0, 0, 0, 0, 0, 5, 12, 68
"/Users/ralphcao/Git/USACO/codebits/String/z_function.cpp", "C++", 28, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/ralphcao/Git/USACO/codebits/Tree/centroid.cpp", "C++", 41, 0, 0, 0, 0, 0, 0, 7, 48
"/Users/ralphcao/Git/USACO/codebits/Tree/euler_path.cpp", "C++", 59, 0, 0, 0, 0, 0, 0, 7, 66
"/Users/ralphcao/Git/USACO/codebits/Tree/heavy_light_decomp.cpp", "C++", 130, 0, 0, 0, 0, 0, 1, 14, 145
"/Users/ralphcao/Git/USACO/codebits/Tree/lowest_common_ancestor.cpp", "C++", 71, 0, 0, 0, 0, 0, 2, 13, 86
"/Users/ralphcao/Git/USACO/codebits/big_outputs.cpp", "C++", 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/ralphcao/Git/USACO/kevin.cpp", "C++", 39, 0, 0, 0, 0, 0, 0, 8, 47
"/Users/ralphcao/Git/USACO/teach/aborn/class6_16.cpp", "C++", 32, 0, 0, 0, 0, 0, 16, 15, 63
"/Users/ralphcao/Git/USACO/teach/aborn/class6_17.cpp", "C++", 4, 0, 0, 0, 0, 0, 0, 6, 10
"/Users/ralphcao/Git/USACO/teach/aborn/class6_18.cpp", "C++", 16, 0, 0, 0, 0, 0, 78, 8, 102
"/Users/ralphcao/Git/USACO/teach/aborn/class6_21.cpp", "C++", 28, 0, 0, 0, 0, 0, 115, 12, 155
